PublicationDate,PropertyNumber,County,LocalAuthority,Category,Uses,Address1,Address2,Address3,Address4,Address5,CarPark,ValuationReport__Level,ValuationReport__FloorUse,ValuationReport__Area,ValuationReport__NavPerM2,ValuationReport__Nav
17/09/2019,630148,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",3AB(1) CHURCH ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),42.73,90,3845.7
17/09/2019,630519,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",IN 5A LA TOUCHE PLACE,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),25.62,90,2305.8
,,,,,,,,,,,,1,OFFICE(S),1,576.45,576.45
17/09/2019,630819,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",3AB/4 CHURCH ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),41.94,90,3774.6
17/09/2019,631469,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",6A FLR 1 TRAFALGAR ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),27.82,84,2336.88
17/09/2019,631470,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",6A FLR -1 TRAFALGAR ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,0,OFFICE(S),44.93,120,5391.6
,,,,,,,,,,,,0,PORTACABIN,6.48,22,142.56
17/09/2019,636885,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 13/22,KILMACULLAGH,NEWCASTLE UPPER,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),29.32,80,2345.6
,,,,,,,,,,,,1,OFFICE(S),30.35,56,1699.6
17/09/2019,645945,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 4C,CORBALLIS UPR,RATHDRUM,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),206.4,60,12384
17/09/2019,648450,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 25,TINAHELY,SHILLELAGH CO. WICKLOW,,,0,0,OFFICE(S),48.67,60,2920.2
17/09/2019,651493,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",28/29 MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),76.41,90,6876.9
17/09/2019,637278,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 26B,NEWTOWNMOUNTKENNEDY,NEWCASTLE UPPER,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),15.51,80,1240.8
17/09/2019,639352,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), SURGERY",LOCAL NO/MAP REF: 8BH,BALLINALEA,GLENEALY,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),54.26,80,4340.8
17/09/2019,640135,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 1A,BALLYBEG,WICKLOW RURAL,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),80.73,80,6458.4
,,,,,,,,,,,,1,OFFICE(S),80.73,56,4520.88
17/09/2019,640622,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 2/E,KILPOOLE HILL,WICKLOW RURAL,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),192,50,9600
17/09/2019,648376,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",LOCAL NO/MAP REF: 31 68/A,TINAHELY,SHILLELAGH CO. WICKLOW,,,0,0,OFFICE(S),112.9,60,6774
17/09/2019,651484,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",20/A MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),41.92,70,2934.4
17/09/2019,651716,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",28 29B MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),22.82,90,2053.8
17/09/2019,651769,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",16B MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),69.83,70,4888.1
17/09/2019,651818,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",9A PARADE GROUND,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),134.58,90,12112.2
17/09/2019,651852,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",8B/1 ST MARY'S ROAD,ARKLOW,CO. WICKLOW,,,0,0,SURGERY,68.37,90,6153.3
17/09/2019,2161263,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",4D/2 OLDCOURT,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),302.16,66,19942.56
,,,,,,,,,,,,1,OFFICE(S),151.27,66,9983.82
,,,,,,,,,,,,0,OFFICE(S),180.91,66,11940.06
17/09/2019,2207856,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (3RD GENERATION), -",45 (PT FLR 1) DUBLIN ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),17.16,120,2059.2
,,,,,,,,,,,,1,OFFICE(S),8.86,120,1063.2
17/09/2019,630518,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",IN 5A LA TOUCHE PLACE,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),21.78,90,1960.2
,,,,,,,,,,,,1,OFFICE(S),1,490.05,490.05
17/09/2019,630817,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",3AB/2 GR.FL CHURCH ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),53.69,90,4832.1
17/09/2019,630818,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",3AB/3 CHURCH ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),35.89,90,3230.1
17/09/2019,635147,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",17/3 MAIN STREET,KILCOOLE,CO. WICKLOW,,,0,0,OFFICE(S),20.02,80,1601.6
,,,,,,,,,,,,1,OFFICE(S),19.07,56,1067.92
17/09/2019,635716,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 1BA,BALLINAHINCH,KILLISKEY,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),68.79,80,5503.2
17/09/2019,636651,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: IN 30AB.31.32/2,NEWTOWNMOUNTKENNEDY,NEWCASTLE UPPER,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),172.89,80,13831.2
,,,,,,,,,,,,1,OFFICE(S),161.56,56,9047.36
17/09/2019,636887,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 1N 19/B,KILMACULLAGH,NEWCASTLE UPPER,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),18.35,80,1468
17/09/2019,649369,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: IN 38/B,CARNEW,SHILLELAGH CO. WICKLOW,,,0,0,OFFICE(S),24.61,60,1476.6
17/09/2019,2213943,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 4ABC/1,TOGHERMORE,TOGHER,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),49.37,60,2962.2
17/09/2019,631468,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",6A FLR 1 TRAFALGAR ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,0,OFFICE(S),17.48,120,2097.6
17/09/2019,632050,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 7C/4,KINDLESTOWN LR GT,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,1,OFFICE(S),8.14,84,683.76
,,,,,,,,,,,,1,OFFICE(S),1,516.24,516.24
17/09/2019,644854,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 1B/A PT,BALLINANTY,BALLINACOR,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),25.74,50,1287
17/09/2019,649691,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",LOCAL NO/MAP REF: 58A,CARNEW,SHILLELAGH CO. WICKLOW,,,0,0,OFFICE(S),85.95,60,5157
,,,,,,,,,,,,0,STORE,5.68,60,340.8
,,,,,,,,,,,,1,OFFICE(S),101.82,42,4276.44
17/09/2019,651288,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",8A/1 MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),73.36,90,6602.4
17/09/2019,651770,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",28-29 MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),28.1,63,1770.3
17/09/2019,651806,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",18AF (1ST FLR) MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),15,70,1050
,,,,,,,,,,,,1,OFFICE(S),1,262.5,262.5
17/09/2019,2184849,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",1/2A TINAHASK STREET,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),15.35,90,1381.5
,,,,,,,,,,,,0,OFFICE(S),63.27,90,5694.3
17/09/2019,653660,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",5AB1 NORTH QUAY,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),56.29,90,5066.1
17/09/2019,2179736,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 27/1,AUGHRIM LOWER,AUGHRIM,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),13.69,60,821.4
,,,,,,,,,,,,0,OFFICE(S),1,380,380
17/09/2019,644853,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 1B/A,BALLINANTY,BALLINACOR,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),26,50,1300
17/09/2019,651371,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",18/AC MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),30.34,70,2123.8
17/09/2019,653475,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",5 FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),33.65,90,3028.5
,,,,,,,,,,,,1,OFFICE(S),39.38,63,2480.94
,,,,,,,,,,,,-1,STORE,46.76,63,2945.88
17/09/2019,655413,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",21 A (-1)FRONT & REAR STRAND ROAD,BRAY,CO. WICKLOW,,,0,-1,OFFICE(S),82.53,84,6932.52
,,,,,,,,,,,,-1,KITCHEN,15.02,84,1261.68
17/09/2019,655458,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",PT**33 FLORENCE TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),37.04,90,3333.6
17/09/2019,655622,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",23B GOLDSMITH TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),54.05,120,6486
14/01/2021,655681,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",1 Quinsborough Rd,Bray,Co. Wicklow,,,0,0,OFFICE(S),94.05,120,11286
17/09/2019,655749,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",9 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),32.84,90,2955.6
,,,,,,,,,,,,2,OFFICE(S),30.36,63,1912.68
17/09/2019,656449,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",10 PRINCE OF WALES TERRACE,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),62.3,59,3675.7
17/09/2019,630776,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 19B 23A 31,RATHDOWN LOWER,GREYSTONES,RATHDOWN 2 CO. WICKLOW,,0,0,OFFICE(S),15.51,120,1861.2
17/09/2019,631929,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",Conor Maguire & Co. Solicitors,Blacklion House,Greystones,Co. Wicklow.,,0,1,OFFICE(S),60.01,84,5040.84
17/09/2019,637313,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",LOCAL NO/MAP REF: 30AB.31.32/1,NEWTOWNMOUNTKENNEDY,NEWCASTLE UPPER,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),102.39,80,8191.2
17/09/2019,639134,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",LOCAL NO/MAP REF: 8AB,ASHFORD,GLENEALY,RATHDRUM CO. WICKLOW,,0,1,OFFICE(S),18.48,60,1108.8
,,,,,,,,,,,,1,OFFICE(S),1,275,275
17/09/2019,648358,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",LOCAL NO/MAP REF: 31/19A(GR.FL.BASEM-PT.1ST FL.),TINAHELY,SHILLELAGH CO. WICKLOW,,,0,0,OFFICE(S),27.06,60,1623.6
,,,,,,,,,,,,0,STORE,13.3,60,798
,,,,,,,,,,,,-1,STORE,28.49,42,1196.58
,,,,,,,,,,,,1,STORE,15.04,42,631.68
17/09/2019,651366,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",17/D MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),19.13,70,1339.1
,,,,,,,,,,,,1,OFFICE(S),1,334.77,334.77
17/09/2019,651383,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",28 (1ST & 2ND FLRS) MAIN STREET,ARKLOW,CO. WICKLOW,,,0,2,SURGERY,32.86,49,1610.14
,,,,,,,,,,,,1,SURGERY,69.98,70,4898.6
17/09/2019,651434,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), OFFICE (OWN DOOR)",1/A CONDRENS LANE,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),76.35,90,6871.5
,,,,,,,,,,,,1,OFFICE(S),62.97,63,3967.11
17/09/2019,651717,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",IN54 MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),25,90,2250
17/09/2019,651766,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",21B MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),44.7,70,3129
17/09/2019,631467,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",60C CHURCH ROAD,GREYSTONES/DELGANY,CO. WICKLOW,,,0,1,OFFICE(S),73.14,90,6582.6
17/09/2019,637322,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",LOCAL NO/MAP REF: 33/A 2,NEWTOWNMOUNTKENNEDY,NEWCASTLE UPPER,RATHDRUM CO. WICKLOW,,0,1,OFFICE(S),37.68,60,2260.8
17/09/2019,643976,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (PURPOSE BUILT PRE 1960), -",LOCAL NO/MAP REF: 4BB,BALLYGAHAN LOWER,AVOCA,RATHDRUM CO. WICKLOW,,0,0,OFFICE(S),262.84,50,13142
,,,,,,,,,,,,1,OFFICE(S),248.92,35,8712.2
17/09/2019,646205,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",29/49BC MAIN STREET,RATHDRUM,CO. WICKLOW,,,0,0,OFFICE(S),170.43,60,10225.8
,,,,,,,,,,,,1,STORE,89.71,42,3767.82
,,,,,,,,,,,,1,OFFICE(S),24.18,42,1015.56
17/09/2019,648377,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",LOCAL NO/MAP REF: 31 68/B FIRST FLOOR,TINAHELY,SHILLELAGH CO. WICKLOW,,,0,1,OFFICE(S),112.9,42,4741.8
17/09/2019,651287,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",8 MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,0,SHOP,25,90,2250
,,,,,,,,,,,,0,OFFICE(S),25,90,2250
17/09/2019,651723,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",53B5 MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),48.81,70,3416.7
17/09/2019,651823,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",4/B KNOCKENRAHAN LR,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),16.2,90,1458
17/09/2019,653502,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",30 (0.1 PT.OF) FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),44.86,90,4037.4
,,,,,,,,,,,,0,STORE,12.4,90,1116
,,,,,,,,,,,,1,OFFICE(S),16.95,63,1067.85
17/09/2019,653525,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",50A FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),-2,90,-180
,,,,,,,,,,,,0,OFFICE(S),177,90,15930
17/09/2019,653637,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (2ND GENERATION), -",5L FERRYBANK,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),73.01,80,5840.8
17/09/2019,654169,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1A CASTLE STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),24.18,90,2176.2
,,,,,,,,,,,,1,OFFICE(S),1,544.05,544.05
02/11/2022,655105,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), RESTAURANT",35B BRENNANS TERRACE,BRAY,CO. WICKLOW,,,0,-1,RESTAURANT,138.96,104,14451.84
17/09/2019,655366,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",48 (0) DUNCAIRN TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),63.15,120,7578
17/09/2019,655373,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",55 QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,2,OFFICE(S),85.7,59,5056.3
17/09/2019,655416,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",21 (0) STRAND ROAD,BRAY,CO. WICKLOW,,,0,0,SURGERY,51.78,120,6213.6
,,,,,,,,,,,,1,OFFICE(S),58.58,84,4920.72
17/09/2019,655491,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",Part 1st Floor,24 Florence Road,Bray,Co Wicklow,,0,1,OFFICE(S),98.3,90,8847
17/09/2019,656516,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",69 B QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),37.29,84,3132.36
19/12/2022,657502,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OTHER), STUDIO",1A BRIGHTON TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),61.67,84,5180.28
17/09/2019,2170743,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",2AB/UNIT 30 EGAN BUSINESS CENTRE DARGLE ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),57.33,90,5159.7
,,,,,,,,,,,,1,ALLOWANCE,-1,1030,-1030
17/09/2019,651761,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",30F MAIN STREET,ARKLOW,CO. WICKLOW,,,0,2,OFFICE(S),11.02,49,539.98
,,,,,,,,,,,,2,OFFICE(S),1,670,670
17/09/2019,651776,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",3 MAIN STREET UPPER,ARKLOW,CO. WICKLOW,,,0,1,SURGERY,157.39,63,9915.57
,,,,,,,,,,,,0,SURGERY,176.14,90,15852.6
14/01/2021,654783,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",128B GREEN PARK ROAD,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),53.72,120,6446.4
,,,,,,,,,,,,1,STORE,53.71,84,4511.64
17/09/2019,655133,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",44 CARLETON TERRACE,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),71.53,120,8583.6
,,,,,,,,,,,,1,OFFICE(S),83.6,84,7022.4
,,,,,,,,,,,,2,OFFICE(S),16.09,59,949.31
17/09/2019,655419,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",20 (FIRST FLOOR) FITZWILLIAM TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),44.88,84,3769.92
17/09/2019,655687,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1A3 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),41.41,90,3726.9
,,,,,,,,,,,,1,STORE,50,90,4500
17/09/2019,655752,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",33 B MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),24.76,90,2228.4
,,,,,,,,,,,,1,OFFICE(S),1,557.1,557.1
17/09/2019,655755,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",36 MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),51.24,90,4611.6
17/09/2019,656456,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1A1 QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),21.2,90,1908
,,,,,,,,,,,,1,OFFICE(S),1,477,477
17/09/2019,656506,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",75 WESTBOURNE TERRACE,BRAY,CO. WICKLOW,,,0,0,STORE,46.54,120,5584.8
17/09/2019,651441,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (INDUSTRIAL), -",7/10 BRADSHAWS LANE,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),107.79,56.4,6079.356
17/09/2019,651724,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",53B6 MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),48.81,70,3416.7
17/09/2019,651759,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",88/3 MAIN STREET LOWER,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),152,70,10640
,,,,,,,,,,,,1,ALLOWANCE,-1,2128,-2128
17/09/2019,651791,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",8A MAIN STREET,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),30.82,70,2157.4
17/09/2019,652677,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (HOUSE), -",12 OAKLANDS,ARKLOW,CO. WICKLOW,,,0,0,OFFICE(S),43.52,90,3916.8
17/09/2019,654167,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",1 CASTLE STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),23.04,90,2073.6
,,,,,,,,,,,,1,OFFICE(S),1,518.4,518.4
17/09/2019,655371,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",55 QUINSBOROUGH ROAD,BRAY,CO. WICKLOW,,,0,0,OFFICE(S),81,120,9720
17/09/2019,655418,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",20 (FIRST FLOOR) FITZWILLIAM TERRACE,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),25.1,84,2108.4
17/09/2019,655753,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OVER THE SHOP), -",33 C MAIN STREET,BRAY,CO. WICKLOW,,,0,1,OFFICE(S),25.9,90,2331
,,,,,,,,,,,,1,OFFICE(S),1,582.75,582.75
02/09/2021,655754,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (OWN DOOR), -",Console Repairs Limited.,Rere 33 Main Street,Novara Avenue,Bray,Co Wicklow,0,0,OFFICE(S),39.94,120,4792.8
,,,,,,,,,,,,0,STORE,5.4,60,324
17/09/2019,652118,WICKLOW,WICKLOW COUNTY COUNCIL,OFFICE,"OFFICE (GEORGIAN / VICTORIAN), -",8A3 ST MARY'S TERRACE,ARKLOW,CO. WICKLOW,,,0,1,OFFICE(S),269.96,63,17007.48
,,,,,,,,,,,,0,OFFICE(S),35.28,90,3175.2
